dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,7.500000,0.000008,0.000769,0.038462,1.923077,0.000338
0.020000,5.000000,7.500000,0.000008,0.000000,-0.038462,-3.846154,0.000337
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,1.923077,0.000334
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000328
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000319
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000307
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000290
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000268
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000239
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000205
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000163
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000113
0.020000,5.000000,7.500000,0.000008,0.000000,0.000000,0.000000,0.000054
0.020000,5.000300,7.500000,0.000308,0.015000,0.750000,37.499999,6.283172
0.020000,5.002000,7.500000,0.002008,0.085000,3.500000,137.499996,6.283095
0.020000,5.003900,7.500000,0.003908,0.095000,0.500000,-149.999994,6.283010
0.020000,5.006000,7.499999,0.006008,0.105000,0.500000,0.000003,6.282915
0.020000,5.008300,7.499998,0.008308,0.115000,0.500000,-0.000007,6.282812
0.020000,5.010800,7.499997,0.010808,0.125000,0.500000,-0.000007,6.282700
0.020000,5.013500,7.499996,0.013508,0.135000,0.500000,0.000029,6.282578
0.020000,5.016400,7.499994,0.016408,0.145000,0.500000,-0.000030,6.282449
0.020000,5.019500,7.499991,0.019508,0.155000,0.500000,0.000004,6.282310
0.020000,5.022800,7.499988,0.022808,0.165000,0.500001,0.000046,6.282162
0.020000,5.026300,7.499984,0.026308,0.175000,0.499999,-0.000103,6.282006
0.020000,5.030000,7.499980,0.030008,0.185000,0.500002,0.000150,6.281841
0.020000,5.033900,7.499974,0.033908,0.195000,0.499998,-0.000191,6.281668
0.020000,5.038000,7.499968,0.038008,0.205000,0.500002,0.000206,6.281485
0.020000,5.042300,7.499960,0.042308,0.215000,0.499998,-0.000192,6.281295
0.020000,5.046800,7.499951,0.046808,0.225000,0.500001,0.000146,6.281096
0.020000,5.051500,7.499941,0.051508,0.235000,0.500000,-0.000040,6.280888
0.020000,5.056400,7.499929,0.056408,0.245000,0.499998,-0.000094,6.280672
0.020000,5.061500,7.499915,0.061508,0.255000,0.500002,0.000163,6.280447
0.020000,5.066800,7.499900,0.066808,0.265000,0.500000,-0.000081,6.280215
0.020000,5.072300,7.499883,0.072308,0.275000,0.499998,-0.000111,6.279974
0.020000,5.078000,7.499864,0.078008,0.285000,0.500001,0.000167,6.279724
0.020000,5.083900,7.499843,0.083908,0.295000,0.500001,-0.000004,6.279467
0.020000,5.090000,7.499820,0.090008,0.305000,0.500001,-0.000008,6.279202
0.020000,5.096300,7.499794,0.096308,0.315000,0.499997,-0.000221,6.278928
0.020000,5.102800,7.499765,0.102808,0.325000,0.500001,0.000204,6.278647
0.020000,5.109500,7.499734,0.109508,0.335000,0.500000,-0.000007,6.278358
0.020000,5.116399,7.499699,0.116408,0.345000,0.500000,-0.000008,6.278061
